# XFLR5 / QBlade Propeller Blade Geometry Definition File
# Propeller Specification: 40" x 13" Carbon Fiber (Radius R = 0.508 m = 20.0 inches)
# Format: Radius [m] | Chord [m] | Twist [deg] | Airfoil Name
# Total Radius: 0.508 m
# Number of Blades: 2

# Radius(m)   Chord(m)    Twist(deg)   Airfoil
0.0762        0.0450      25.80        NACA4412
0.1016        0.0490      21.50        NACA4412
0.1524        0.0540      16.20        NACA4412
0.2032        0.0550      13.50        NACA4412
0.2540        0.0530      11.70        NACA4412
0.3048        0.0490      10.10        NACA4412
0.3556        0.0440      8.80         NACA4412
0.4064        0.0380      7.60         NACA4412
0.4572        0.0320      6.60         NACA4412
0.5080        0.0250      5.80         NACA4412
